Variable,,,
FSCORE_Y1,5,,1 Yr Ago
PRP_2YH,90.15,,2 Yr Ago
SHR_AQ1,907.548,,1 Yr Ago
MKTCAP,228876.8,,A Yr Avg
PRCHG_SD3Y,43.92,,3 Yr Avg
PRICE,251.53,,E Yr Avg
PRICE_DATE,6/30/2010,,
INSTPS,30712,,P Yr Avg
INSTSS,67339,,S Yr Avg
FLOAT,904.019,,T Yr Avg
SHRINST,67.5,,N Yr Avg
SHRINSTN,2964,,N Yr Avg
SHRINSD,0.7,,N Yr Avg
PRCHG_04W,-5,,04 Yr Ago
RS_04W,2,,04 Yr Ago
RS_13W,21,,13 Yr Ago
RS_26W,30,,26 Yr Ago
AVM_03M,560772,,03 Yr Ago
BETA,1.5,,T Yr Avg
PRCHG_04W.1,-5,,1 Yr Ago
PRCHG_13W,7,,13 Yr Ago
PRCHG_26W,19,,26 Yr Ago
PRCHG_52W,77,,52 Yr Ago
PR_PRH_52W,90,,52 Yr Avg
QS_PERC,36.1,,
EPSN_EQ0,40,,0 Yr Ago
EPSN_EY0,47,,0 Yr Ago
EPS_EY0,13.657,,0 Yr Ago
EPSPM_EY0,13.324,,0 Yr Ago
EPSUM_EY0,22,,0 Yr Ago
EPSDM_EY0,1,,0 Yr Ago
EPS_EY1,16.117,,1 Yr Ago
EPSPM_EY1,15.426,,1 Yr Ago
EPSUM_EY1,21,,1 Yr Ago
EPSDM_EY1,0,,1 Yr Ago
LTDEBT_Q1,0,,1 Yr Ago
RAT_EPSEY0_DCY1,1.50407489,,1 Yr Avg
RAT_EPSEY0_LM,1.024992495,,0 Yr Avg
RAT_EPSREVUPY0_DN,22,,0 Yr Avg
RAT_EPSEY1_LM,1.044794503,,1 Yr Avg
RAT_EPSREVUPY1_DN,Inf,,1 Yr Avg
RAT_RS13W_26W,0.7,,26 Yr Avg
RAT_EPSCGR12M_1Y,1.422492401,,1 Yr Avg
RAT_EPSCGR1Y_Y3Y2,0.45821727,,2 Yr Avg
RAT_EPSCY3toY2_Y4Y3,1.008426966,,3 Yr Avg
RAT_EPSCQ5toQ1_Q6Q2,1.828389831,,2 Yr Avg
RAT_EPSC12M_Y1,1.300433839,,1 Yr Avg
RAT_EPSCY1_Y2,1.328530259,,2 Yr Avg
RAT_EPSCY2_Y3,1.717821782,,3 Yr Avg
RAT_EPSCY3_Y4,1.711864407,,4 Yr Avg
RAT_EPSCY4_Y5,1.43902439,,5 Yr Avg
RAT_DIV12M_Y1,NA,,1 Yr Avg
RAT_DIVY1_Y2,NA,,2 Yr Avg
RAT_DIVY2_Y3,NA,,3 Yr Avg
RAT_DIVY3_Y4,NA,,4 Yr Avg
RAT_DIVY4_Y5,NA,,5 Yr Avg
RAT_DIVY5_Y6,NA,,6 Yr Avg
RAT_DIVY6_Y7,NA,,7 Yr Avg
INSTP_S,0.456080429,,
RATADV10D_3M,0.048681104,,3 Yr Avg
EBITEV,NA,,E Yr Avg
ROC,NA,,O Yr Avg
Y_1M,2.274082614,,1 Yr Ago
Y_3M,12.80960522,,3 Yr Ago
Y_6M,28.23917624,,6 Yr Ago
Y_12M,33.45127818,,12 Yr Ago
INSTALLDT,20100630,,A Yr Avg
